algorithm_name,env_n,scenario_n,states_n,actions_count,actions_cost,time,solution_found
Random,1,1,3,,,0.000029,False
Random,1,2,4,,,0.000015,False
Random,2,1,13,,,0.000113,False
Random,2,2,16,,,0.000087,False
Random,3,1,6,,,0.000010,False
Random,3,2,17,,,0.000081,False
Random,4,1,9,,,0.000018,False
Random,4,2,7,,,0.000032,False
Random,5,1,9,,,0.000082,False
Random,5,2,25,,,0.000137,False
Random,6,1,25,,,0.000366,False
Random,6,2,15,,,0.000065,False
Random,7,1,11,,,0.000023,False
Random,7,2,25,,,0.000218,False
Random,8,1,27,,,0.000083,False
Random,8,2,29,,,0.000155,False
Random,9,1,40,,,0.000191,False
Random,9,2,18,,,0.000082,False
Random,10,1,7,,,0.000015,False
Random,10,2,7,,,0.000011,False
Random,11,1,6,,,0.000013,False
Random,11,2,6,,,0.000008,False
Random,12,1,3,,,0.000005,False
Random,12,2,3,,,0.000006,False
Random,13,1,17,,,0.000044,False
Random,13,2,5,,,0.000010,False
Random,14,1,15,,,0.000030,False
Random,14,2,15,,,0.000037,False
Random,15,1,19,,,0.000044,False
Random,15,2,11,,,0.000025,False
Random,16,1,3,,,0.000005,False
Random,16,2,6,,,0.000011,False
Random,17,1,37,,,0.000180,False
Random,17,2,33,,,0.000140,False
Random,18,1,61,,,0.000378,False
Random,18,2,2,,,0.000003,False
Random,19,1,6,,,0.000011,False
Random,19,2,13,,,0.000053,False
Random,20,1,13,,,0.000090,False
Random,20,2,8,,,0.000045,False
Random,21,1,8,,,0.000019,False
Random,21,2,20,,,0.000108,False
Random,22,1,11,,,0.000037,False
Random,22,2,6,,,0.000008,False
Random,23,1,10,,,0.000030,False
Random,23,2,10,,,0.000019,False
Random,24,1,2,,,0.000004,False
Random,24,2,9,,,0.000030,False
Random,25,1,11,,,0.000057,False
Random,25,2,11,,,0.000023,False
Random,26,1,6,,,0.000011,False
Random,26,2,47,,,0.000334,False
Random,27,1,20,,,0.000059,False
Random,27,2,14,,,0.000044,False
Random,28,1,3,,,0.000006,False
Random,28,2,2,,,0.000002,False
Random,29,1,4,,,0.000008,False
Random,29,2,4,,,0.000005,False
Random,30,1,11,,,0.000060,False
Random,30,2,8,,,0.000025,False
BFS,1,1,4111,64.000000,64.000000,0.017260,True
BFS,1,2,4111,64.000000,127.000000,0.018509,True
BFS,2,1,376,14.000000,14.000000,0.001226,True
BFS,2,2,376,14.000000,104.000000,0.001192,True
BFS,3,1,4307,52.000000,52.000000,0.018866,True
BFS,3,2,4307,52.000000,340.000000,0.018936,True
BFS,4,1,8767,124.000000,124.000000,0.033458,True
BFS,4,2,8767,124.000000,763.000000,0.030498,True
BFS,5,1,3638,59.000000,59.000000,0.014277,True
BFS,5,2,3638,59.000000,95.000000,0.018500,True
BFS,6,1,3040,46.000000,46.000000,0.010291,True
BFS,6,2,3040,46.000000,73.000000,0.018686,True
BFS,7,1,5284,65.000000,65.000000,0.023983,True
BFS,7,2,5284,65.000000,299.000000,0.019525,True
BFS,8,1,5866,63.000000,63.000000,0.050837,True
BFS,8,2,5866,63.000000,351.000000,0.019584,True
BFS,9,1,7817,111.000000,111.000000,0.027950,True
BFS,9,2,7817,111.000000,291.000000,0.026633,True
BFS,10,1,5786,65.000000,65.000000,0.019536,True
BFS,10,2,5786,65.000000,632.000000,0.022332,True
BFS,11,1,4544,51.000000,51.000000,0.015808,True
BFS,11,2,4544,51.000000,420.000000,0.017105,True
BFS,12,1,7507,96.000000,96.000000,0.026321,True
BFS,12,2,7507,96.000000,600.000000,0.025929,True
BFS,13,1,736,20.000000,20.000000,0.002340,True
BFS,13,2,736,20.000000,47.000000,0.002349,True
BFS,14,1,6113,64.000000,64.000000,0.022486,True
BFS,14,2,6113,64.000000,586.000000,0.021354,True
BFS,15,1,9162,123.000000,123.000000,0.037445,True
BFS,15,2,9162,123.000000,708.000000,0.031492,True
BFS,16,1,938,23.000000,23.000000,0.002989,True
BFS,16,2,938,23.000000,149.000000,0.002881,True
BFS,17,1,412,15.000000,15.000000,0.001293,True
BFS,17,2,412,15.000000,123.000000,0.001302,True
BFS,18,1,4564,62.000000,62.000000,0.015420,True
BFS,18,2,4564,62.000000,224.000000,0.015934,True
BFS,19,1,8079,112.000000,112.000000,0.028183,True
BFS,19,2,8079,112.000000,418.000000,0.029321,True
BFS,20,1,6534,95.000000,95.000000,0.022400,True
BFS,20,2,6534,95.000000,617.000000,0.022658,True
BFS,21,1,6057,97.000000,97.000000,0.020938,True
BFS,21,2,6057,97.000000,898.000000,0.021849,True
BFS,22,1,7111,109.000000,109.000000,0.024203,True
BFS,22,2,7111,109.000000,244.000000,0.025224,True
BFS,23,1,5173,83.000000,83.000000,0.017521,True
BFS,23,2,5173,83.000000,290.000000,0.017875,True
BFS,24,1,930,23.000000,23.000000,0.002980,True
BFS,24,2,930,23.000000,221.000000,0.003245,True
BFS,25,1,9044,99.000000,99.000000,0.060911,True
BFS,25,2,9044,99.000000,567.000000,0.040252,True
BFS,26,1,7872,106.000000,106.000000,0.026760,True
BFS,26,2,7872,106.000000,646.000000,0.028069,True
BFS,27,1,6824,80.000000,80.000000,0.030427,True
BFS,27,2,6824,80.000000,746.000000,0.023525,True
BFS,28,1,3353,77.000000,77.000000,0.011967,True
BFS,28,2,3353,77.000000,716.000000,0.011259,True
BFS,29,1,8179,87.000000,87.000000,0.027695,True
BFS,29,2,8179,87.000000,690.000000,0.028013,True
BFS,30,1,6731,102.000000,102.000000,0.023343,True
BFS,30,2,6731,102.000000,390.000000,0.023329,True
DFS,1,1,8507,158.000000,158.000000,0.041455,True
DFS,1,2,8507,158.000000,437.000000,0.039572,True
DFS,2,1,7627,,,0.035966,False
DFS,2,2,7627,,,0.042493,False
DFS,3,1,437,430.000000,430.000000,0.001979,True
DFS,3,2,437,430.000000,1222.000000,0.002061,True
DFS,4,1,5912,,,0.042191,False
DFS,4,2,5912,,,0.054157,False
DFS,5,1,6215,305.000000,305.000000,0.066202,True
DFS,5,2,6215,305.000000,809.000000,0.052687,True
DFS,6,1,3167,390.000000,390.000000,0.029404,True
DFS,6,2,3167,390.000000,1227.000000,0.084740,True
DFS,7,1,2062,1185.000000,1185.000000,0.016023,True
DFS,7,2,2062,1185.000000,3579.000000,0.019644,True
DFS,8,1,5984,,,0.055858,False
DFS,8,2,5984,,,0.059907,False
DFS,9,1,1464,939.000000,939.000000,0.011976,True
DFS,9,2,1464,939.000000,2307.000000,0.012866,True
DFS,10,1,1138,1007.000000,1007.000000,0.011466,True
DFS,10,2,1138,1007.000000,3500.000000,0.010609,True
DFS,11,1,1943,141.000000,141.000000,0.019249,True
DFS,11,2,1943,141.000000,564.000000,0.018611,True
DFS,12,1,2632,,,0.027854,False
DFS,12,2,2632,,,0.024045,False
DFS,13,1,5166,348.000000,348.000000,0.049053,True
DFS,13,2,5166,348.000000,969.000000,0.051769,True
DFS,14,1,5064,,,0.044616,False
DFS,14,2,5064,,,0.048427,False
DFS,15,1,4280,,,0.041241,False
DFS,15,2,4280,,,0.036633,False
DFS,16,1,5483,1029.000000,1029.000000,0.046478,True
DFS,16,2,5483,1029.000000,3189.000000,0.048097,True
DFS,17,1,1513,1001.000000,1001.000000,0.015703,True
DFS,17,2,1513,1001.000000,2855.000000,0.014500,True
DFS,18,1,3049,1668.000000,1668.000000,0.029185,True
DFS,18,2,3049,1668.000000,5808.000000,0.031936,True
DFS,19,1,3353,1166.000000,1166.000000,0.033592,True
