algorithm_name,env_n,scenario_n,states_n,actions_count,actions_cost,time,solution_found
Random,1,1,7,,,0.000036,False
Random,1,2,6,,,0.000010,False
Random,2,1,6,,,0.000013,False
Random,2,2,24,,,0.000156,False
Random,3,1,6,,,0.000010,False
Random,3,2,8,,,0.000043,False
Random,4,1,3,,,0.000011,False
Random,4,2,11,,,0.000056,False
Random,5,1,6,,,0.000027,False
Random,5,2,8,,,0.000015,False
Random,6,1,21,,,0.000126,False
Random,6,2,12,,,0.000026,False
Random,7,1,4,,,0.000012,False
Random,7,2,21,,,0.000095,False
Random,8,1,27,,,0.000073,False
Random,8,2,12,,,0.000085,False
Random,9,1,10,,,0.000095,False
Random,9,2,8,,,0.000017,False
Random,10,1,21,,,0.000189,False
Random,10,2,5,,,0.000024,False
Random,11,1,35,,,0.000483,False
Random,11,2,27,,,0.000305,False
Random,12,1,4,,,0.000008,False
Random,12,2,3,,,0.000006,False
Random,13,1,10,,,0.000025,False
Random,13,2,2,,,0.000003,False
Random,14,1,13,,,0.000033,False
Random,14,2,4,,,0.000005,False
Random,15,1,8,,,0.000011,False
Random,15,2,16,,,0.000045,False
Random,16,1,12,,,0.000031,False
Random,16,2,5,,,0.000007,False
Random,17,1,34,,,0.000220,False
Random,17,2,7,,,0.000010,False
Random,18,1,11,,,0.000049,False
Random,18,2,9,,,0.000015,False
Random,19,1,38,,,0.000212,False
Random,19,2,20,,,0.000075,False
Random,20,1,10,,,0.000022,False
Random,20,2,8,,,0.000018,False
Random,21,1,21,,,0.000046,False
Random,21,2,7,,,0.000014,False
Random,22,1,14,,,0.000091,False
Random,22,2,6,,,0.000028,False
Random,23,1,6,,,0.000027,False
Random,23,2,16,,,0.000163,False
Random,24,1,4,,,0.000008,False
Random,24,2,7,,,0.000015,False
Random,25,1,23,,,0.000075,False
Random,25,2,18,,,0.000191,False
Random,26,1,12,,,0.000029,False
Random,26,2,13,,,0.000097,False
Random,27,1,14,,,0.000091,False
Random,27,2,6,,,0.000010,False
Random,28,1,2,,,0.000003,False
Random,28,2,6,,,0.000029,False
Random,29,1,8,,,0.000061,False
Random,29,2,4,,,0.000015,False
Random,30,1,20,,,0.000129,False
Random,30,2,32,,,0.000126,False
BFS,1,1,4111,64.000000,64.000000,0.014636,True
BFS,1,2,4111,64.000000,127.000000,0.015781,True
BFS,2,1,376,14.000000,14.000000,0.001301,True
BFS,2,2,376,14.000000,104.000000,0.001190,True
BFS,3,1,4307,52.000000,52.000000,0.017524,True
BFS,3,2,4307,52.000000,340.000000,0.017032,True
BFS,4,1,8767,124.000000,124.000000,0.030639,True
BFS,4,2,8767,124.000000,763.000000,0.029526,True
BFS,5,1,3638,59.000000,59.000000,0.012066,True
BFS,5,2,3638,59.000000,95.000000,0.012501,True
BFS,6,1,3040,46.000000,46.000000,0.009973,True
BFS,6,2,3040,46.000000,73.000000,0.013187,True
BFS,7,1,5284,65.000000,65.000000,0.023440,True
BFS,7,2,5284,65.000000,299.000000,0.017898,True
BFS,8,1,5866,63.000000,63.000000,0.050990,True
BFS,8,2,5866,63.000000,351.000000,0.020938,True
BFS,9,1,7817,111.000000,111.000000,0.027682,True
BFS,9,2,7817,111.000000,291.000000,0.027368,True
BFS,10,1,5786,65.000000,65.000000,0.019821,True
BFS,10,2,5786,65.000000,632.000000,0.022812,True
BFS,11,1,4544,51.000000,51.000000,0.015481,True
BFS,11,2,4544,51.000000,420.000000,0.015652,True
