algorithm_name,env_n,size,best_solution,H,states,time,success
random,0,4,"[2, 0, 3, 1]",0,5,0.00022530555725097656,True
random,1,4,"[2, 0, 3, 1]",0,13,4.744529724121094e-05,True
random,2,4,"[1, 3, 0, 2]",0,7,1.9788742065429688e-05,True
random,3,4,"[2, 0, 3, 1]",0,13,4.506111145019531e-05,True
random,4,4,"[2, 0, 3, 1]",0,1,3.337860107421875e-06,True
random,5,4,"[1, 3, 0, 2]",0,13,4.9114227294921875e-05,True
random,6,4,"[1, 3, 0, 2]",0,55,0.00025963783264160156,True
random,7,4,"[1, 3, 0, 2]",0,14,7.176399230957031e-05,True
random,8,4,"[2, 0, 3, 1]",0,4,2.2411346435546875e-05,True
random,9,4,"[1, 3, 0, 2]",0,2,1.1682510375976562e-05,True
random,10,4,"[1, 3, 0, 2]",0,5,2.4557113647460938e-05,True
random,11,4,"[1, 3, 0, 2]",0,5,3.409385681152344e-05,True
random,12,4,"[2, 0, 3, 1]",0,2,1.2636184692382812e-05,True
random,13,4,"[1, 3, 0, 2]",0,7,4.9114227294921875e-05,True
random,14,4,"[1, 3, 0, 2]",0,18,8.368492126464844e-05,True
random,15,4,"[1, 3, 0, 2]",0,4,2.09808349609375e-05,True
random,16,4,"[1, 3, 0, 2]",0,4,2.002716064453125e-05,True
random,17,4,"[2, 0, 3, 1]",0,8,5.173683166503906e-05,True
random,18,4,"[1, 3, 0, 2]",0,2,1.5020370483398438e-05,True
random,19,4,"[2, 0, 3, 1]",0,15,0.0001010894775390625,True
random,20,4,"[2, 0, 3, 1]",0,1,1.0728836059570312e-05,True
random,21,4,"[1, 3, 0, 2]",0,11,6.461143493652344e-05,True
random,22,4,"[1, 3, 0, 2]",0,3,1.5735626220703125e-05,True
random,23,4,"[1, 3, 0, 2]",0,1,6.4373016357421875e-06,True
random,24,4,"[1, 3, 0, 2]",0,16,8.535385131835938e-05,True
random,25,4,"[1, 3, 0, 2]",0,19,8.821487426757812e-05,True
random,26,4,"[2, 0, 3, 1]",0,3,1.5497207641601562e-05,True
random,27,4,"[1, 3, 0, 2]",0,2,1.2159347534179688e-05,True
random,28,4,"[2, 0, 3, 1]",0,64,0.0002956390380859375,True
random,29,4,"[2, 0, 3, 1]",0,5,2.9087066650390625e-05,True
random,30,4,"[2, 0, 3, 1]",0,2,1.0728836059570312e-05,True
random,31,4,"[1, 3, 0, 2]",0,9,6.890296936035156e-05,True
random,32,4,"[2, 0, 3, 1]",0,12,0.00011181831359863281,True
random,33,4,"[1, 3, 0, 2]",0,9,7.653236389160156e-05,True
random,34,4,"[1, 3, 0, 2]",0,11,8.7738037109375e-05,True
random,35,4,"[1, 3, 0, 2]",0,10,7.867813110351562e-05,True
random,36,4,"[1, 3, 0, 2]",0,1,9.298324584960938e-06,True
random,37,4,"[1, 3, 0, 2]",0,11,8.988380432128906e-05,True
random,38,4,"[1, 3, 0, 2]",0,3,2.47955322265625e-05,True
random,39,4,"[2, 0, 3, 1]",0,37,0.0002651214599609375,True
random,40,4,"[2, 0, 3, 1]",0,2,1.7881393432617188e-05,True
random,41,4,"[1, 3, 0, 2]",0,13,0.00010275840759277344,True
random,42,4,"[1, 3, 0, 2]",0,8,6.556510925292969e-05,True
random,43,4,"[1, 3, 0, 2]",0,24,0.0001850128173828125,True
random,44,4,"[2, 0, 3, 1]",0,2,1.71661376953125e-05,True
random,45,4,"[1, 3, 0, 2]",0,3,2.47955322265625e-05,True
random,46,4,"[1, 3, 0, 2]",0,12,9.489059448242188e-05,True
random,47,4,"[2, 0, 3, 1]",0,14,0.00010800361633300781,True
random,48,4,"[2, 0, 3, 1]",0,8,6.556510925292969e-05,True
random,49,4,"[2, 0, 3, 1]",0,4,3.24249267578125e-05,True
random,0,8,"[7, 3, 0, 2, 5, 1, 6, 4]",0,586,0.008371591567993164,True
random,1,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,157,0.0008370876312255859,True
random,2,8,"[5, 1, 6, 0, 2, 4, 7, 3]",0,881,0.005566120147705078,True
random,3,8,"[2, 6, 1, 7, 5, 3, 0, 4]",0,104,0.0006549358367919922,True
random,4,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,633,0.007048845291137695,True
random,5,8,"[5, 3, 6, 0, 2, 4, 1, 7]",0,81,0.0005803108215332031,True
random,6,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,66,0.0011467933654785156,True
random,7,8,"[3, 6, 2, 7, 1, 4, 0, 5]",0,519,0.006020307540893555,True
random,8,8,"[3, 1, 4, 7, 5, 0, 2, 6]",0,1638,0.015501022338867188,True
random,9,8,"[4, 1, 3, 6, 2, 7, 5, 0]",0,320,0.001766204833984375,True
random,10,8,"[2, 5, 1, 6, 0, 3, 7, 4]",0,325,0.004892826080322266,True
random,11,8,"[3, 7, 4, 2, 0, 6, 1, 5]",0,597,0.0037691593170166016,True
random,12,8,"[2, 5, 7, 0, 4, 6, 1, 3]",0,81,0.0004515647888183594,True
random,13,8,"[3, 6, 2, 7, 1, 4, 0, 5]",0,242,0.0019116401672363281,True
random,14,8,"[3, 6, 4, 1, 5, 0, 2, 7]",0,1029,0.010047197341918945,True
random,15,8,"[4, 0, 7, 3, 1, 6, 2, 5]",0,628,0.0050830841064453125,True
random,16,8,"[2, 7, 3, 6, 0, 5, 1, 4]",0,1017,0.011194229125976562,True
random,17,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,154,0.002043008804321289,True
random,18,8,"[3, 6, 0, 7, 4, 1, 5, 2]",0,227,0.003630399703979492,True
random,19,8,"[1, 7, 5, 0, 2, 4, 6, 3]",0,120,0.0012516975402832031,True
random,20,8,"[7, 3, 0, 2, 5, 1, 6, 4]",0,125,0.0015056133270263672,True
random,21,8,"[2, 5, 3, 1, 7, 4, 6, 0]",0,221,0.0029747486114501953,True
random,22,8,"[7, 2, 0, 5, 1, 4, 6, 3]",0,280,0.004342555999755859,True
random,23,8,"[2, 5, 1, 6, 0, 3, 7, 4]",0,302,0.0036170482635498047,True
random,24,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,268,0.00310516357421875,True
random,25,8,"[3, 5, 0, 4, 1, 7, 2, 6]",0,148,0.0009739398956298828,True
random,26,8,"[3, 6, 0, 7, 4, 1, 5, 2]",0,697,0.00639033317565918,True
random,27,8,"[2, 5, 3, 0, 7, 4, 6, 1]",0,379,0.003940582275390625,True
random,28,8,"[4, 1, 7, 0, 3, 6, 2, 5]",0,1291,0.012613058090209961,True
random,29,8,"[4, 7, 3, 0, 2, 5, 1, 6]",0,532,0.007507801055908203,True
random,30,8,"[2, 5, 3, 1, 7, 4, 6, 0]",0,1117,0.007839202880859375,True
random,31,8,"[4, 1, 3, 5, 7, 2, 0, 6]",0,1429,0.013349056243896484,True
random,32,8,"[4, 2, 7, 3, 6, 0, 5, 1]",0,320,0.0020847320556640625,True
random,33,8,"[3, 6, 2, 7, 1, 4, 0, 5]",0,388,0.003330707550048828,True
random,34,8,"[4, 6, 1, 5, 2, 0, 3, 7]",0,491,0.0035517215728759766,True
random,35,8,"[3, 6, 4, 1, 5, 0, 2, 7]",0,451,0.0034394264221191406,True
random,36,8,"[2, 5, 1, 4, 7, 0, 6, 3]",0,438,0.006574153900146484,True
random,37,8,"[4, 6, 0, 2, 7, 5, 3, 1]",0,1564,0.01660013198852539,True
random,38,8,"[3, 1, 6, 2, 5, 7, 0, 4]",0,111,0.0011131763458251953,True
random,39,8,"[1, 3, 5, 7, 2, 0, 6, 4]",0,404,0.005434274673461914,True
random,40,8,"[5, 3, 1, 7, 4, 6, 0, 2]",0,333,0.004371166229248047,True
random,41,8,"[0, 6, 3, 5, 7, 1, 4, 2]",0,316,0.0037813186645507812,True
