"id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","prediction_prob","prediction_class"
39173,"Fresno europeo","25/11/2010 12:20","Alto (> 8 mts)",180,"Grande",-68.853594217,-32.8724606128,6,"Residencial Norte",2694682.37982,0,0.63189920084551,1
9748,"Conifera","19/01/2011 10:39","Alto (> 8 mts)",50,"Mediano",-68.8468369145,-32.8643468246,4,"Cuarta Oeste",1173332.70145,0,0.61707794573158,1
38499,"Fresno europeo","02/11/2010 10:27","Bajo (2 - 4 mts)",30,"Mediano",-68.8502676132,-32.8697191311,6,"Residencial Norte",2694682.37982,0,0.697822097223252,1
47518,"Morera","29/08/2011 13:44","Medio (4 - 8 mts)",96,"Grande",-68.8262308715,-32.8711205728,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.935147452168167,1
23247,"Morera","27/01/2012 13:03","Medio (4 - 8 mts)",90,"Grande",-68.8526909335,-32.9016300135,2,"Barrio Civico",2366816.36021,0,0.98137257178314,1
36993,"Morera","01/04/2011 11:55","Alto (> 8 mts)",72,"Grande",-68.8575715677,-32.8779365029,7,"Residencial Parque",1786336.08966,1,0.915072240168229,1
9038,"Morera","11/01/2011 09:00","Alto (> 8 mts)",195,"Grande",-68.8446569493,-32.8670319545,4,"Cuarta Oeste",1173332.70145,0,0.0152553573716432,0
26253,"Fresno europeo","18/10/2011 11:36","Medio (4 - 8 mts)",110,"Grande",-68.8312505049,-32.8877758656,3,"Parque O'Higgins",1531146.02653,0,0.776227535679936,1
22096,"Fresno europeo","10/06/2011 10:48","Alto (> 8 mts)",108,"Grande",-68.854186481,-32.8982459195,5,"Residencial Sur",2423808.92355,0,0.14907691674307,0
41126,"Pltano","27/04/2011 10:09","Alto (> 8 mts)",148,"Grande",-68.8401307143,-32.8834718603,1,"Parque Central",1655357.93265,0,0.243632536614314,0
4911,"Morera","20/07/2011 10:27","Medio (4 - 8 mts)",90,"Grande",-68.8431462347,-32.8658651094,4,"Cuarta Oeste",1173332.70145,0,0.520461588166654,1
1876,"Paraiso","15/11/2011 13:21","Medio (4 - 8 mts)",38,"Mediano",-68.8608554736,-32.870279883,7,"Residencial Parque",1786336.08966,0,0.669749475549906,1
23900,"Pltano","28/02/2012 12:19","Alto (> 8 mts)",210,"Grande",-68.8517064819,-32.8995279117,2,"Barrio Civico",2366816.36021,0,0.831312394468114,1
8817,"Morera","01/02/2011 13:25","Alto (> 8 mts)",155,"Grande",-68.8545835459,-32.8676474463,6,"Residencial Norte",2694682.37982,0,0.542678622063249,1
36607,"Pltano","15/06/2011 13:39","Medio (4 - 8 mts)",130,"Grande",-68.8571528423,-32.8828335717,5,"Residencial Sur",2423808.92355,0,0.654650937998667,1
12815,"Fresno europeo","20/01/2011 12:51","Medio (4 - 8 mts)",100,"Grande",-68.8470749144,-32.8638452547,4,"Cuarta Oeste",1173332.70145,0,0.213254770962521,0
44615,"Morera","26/08/2011 07:59","Alto (> 8 mts)",150,"Grande",-68.8228873783,-32.8672179401,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.484775316203013,0
43782,"Morera","19/10/2011 08:47","Medio (4 - 8 mts)",170,"Grande",-68.8323609515,-32.8814728027,3,"Parque O'Higgins",1531146.02653,0,0.176421991316602,0
28303,"Pltano","10/03/2011 14:58","Alto (> 8 mts)",110,"Grande",-68.8493817639,-32.8927316381,2,"Barrio Civico",2366816.36021,1,0.479935146635398,0
47204,"Morera","20/09/2011 10:13","Medio (4 - 8 mts)",235,"Grande",-68.8349224458,-32.8739938699,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.156089394818991,0
24632,"Pltano","17/01/2011 12:26","Alto (> 8 mts)",300,"Grande",-68.8419964461,-32.9002050903,2,"Barrio Civico",2366816.36021,0,0.00442854897119105,0
15404,"Eucalyptus","15/11/2011 13:02","Alto (> 8 mts)",250,"Grande",-68.8610591037,-32.8697392674,7,"Residencial Parque",1786336.08966,0,0.61709701968357,1
2187,"Morera","04/11/2011 17:01","Bajo (2 - 4 mts)",60,"Mediano",-68.832707831,-32.8863340473,3,"Parque O'Higgins",1531146.02653,0,0.329037985764444,0
10344,"Morera","30/11/2010 11:22","Medio (4 - 8 mts)",45,"Mediano",-68.8556870063,-32.8727848053,6,"Residencial Norte",2694682.37982,0,0.0874323335010558,0
37928,"Paraiso","18/11/2010 11:27","Alto (> 8 mts)",170,"Grande",-68.8492317874,-32.8739706377,6,"Residencial Norte",2694682.37982,1,0.779862887226045,1
